Harvest_Date,Plot,Tag,Fruit_Pres,Fruit_Coll,Return,Page,Harvest_Note
7/19/21,5,1159,0,0,FALSE,H2,
7/19/21,6,1138,0,0,FALSE,H2,
7/19/21,6,1300,0,0,FALSE,H2,
7/19/21,7,1136,5,5,FALSE,H2,
7/19/21,7,1144,3,3,FALSE,H2,
7/19/21,7,1198,5,3,FALSE,H2,
7/19/21,8,1168,1,1,FALSE,H2,
7/19/21,8,1201,,,FALSE,H2,can't find
7/19/21,27,1202,3,2,FALSE,H2,
7/19/21,28,1158,3,2,FALSE,H2,
7/19/21,36,1051,2,2,FALSE,H2,
7/19/21,37,1137,5,5,FALSE,H2,
7/19/21,37,1190,5,,FALSE,H2,[datasheet unreadable]
7/19/21,37,1310,1,1,FALSE,H2,
7/19/21,37,1312,7,4,FALSE,H2,
7/19/21,58,1080,1,1,FALSE,H2,
7/19/21,59,1055,,,TRUE,H2,not ready
7/19/21,59,1147,5,2,FALSE,H2,
7/19/21,59,1301,25,16,FALSE,H2,
7/19/21,60,1100,1,1,FALSE,H2,
7/19/21,62,1031,3,3,FALSE,H2,
7/19/21,62,1040,,,TRUE,H2,[skipped?]
7/19/21,62,1065,2,2,FALSE,H2,
7/19/21,62,1084,5,5,FALSE,H2,
7/19/21,62,1151,4,4,FALSE,H2,
7/19/21,62,1166,3,2,FALSE,H2,
7/19/21,62,1260,0,0,FALSE,H2,
7/19/21,62,1315,6,3,FALSE,H2,dropped one (big)
7/19/21,71,1005,0,0,FALSE,H2,
7/19/21,71,1041,4,3,FALSE,H2,
7/19/21,71,1050,8,5,FALSE,H3,prev…?
7/19/21,71,1052,4,2,FALSE,H3,
7/19/21,71,1078,4,3,FALSE,H3,
7/19/21,71,1289,4,2,FALSE,H3,
7/19/21,71,1308,7,7,FALSE,H3,
7/19/21,73,1039,3,1,FALSE,H3,
7/19/21,73,1108,3,2,FALSE,H3,
7/19/21,73,1280,,,TRUE,H3,not brown; return
7/19/21,74,1021,,,TRUE,H3,not ready
7/19/21,74,1033,0,0,FALSE,H3,
7/19/21,74,1054,7,7,FALSE,H3,
7/19/21,74,1055,3,2,FALSE,H3,
7/19/21,74,1056,6,5,FALSE,H3,
7/19/21,74,1113,4,2,FALSE,H3,
7/19/21,74,1129,4,4,FALSE,H3,
7/19/21,74,1170,,,TRUE,H3,not ready
7/19/21,74,1200,6,5,FALSE,H3,
7/19/21,74,1214,7,6,FALSE,H3,
7/19/21,74,1227,,,TRUE,H3,not ready
7/19/21,74,1229,0,0,FALSE,H3,
7/19/21,74,1297,,,TRUE,H3,not ready
7/19/21,76,1094,2,2,FALSE,H3,
7/19/21,76,1284,3,1,FALSE,H3,
7/19/21,79,1283,2,2,FALSE,H3,
